iter	Passed	Remaining
0	0	519
1	37	18830
2	38	12660
3	38	9606
4	39	7797
5	39	6592
6	40	5708
7	40	5067
8	41	4536
9	41	4133
10	42	3788
11	42	3497
12	42	3246
13	43	3034
14	55	3629
15	56	3445
16	56	3265
17	56	3100
18	57	2951
19	57	2818
20	57	2695
21	58	2584
22	58	2486
23	58	2393
24	59	2317
25	59	2246
26	60	2178
27	61	2121
28	61	2059
29	62	2008
30	62	1961
31	63	1912
32	63	1865
33	64	1822
34	72	1992
35	72	1949
36	73	1907
37	73	1869
38	74	1826
39	74	1790
40	75	1755
41	75	1721
42	75	1690
43	76	1660
44	76	1630
45	77	1601
46	77	1575
47	78	1550
48	78	1524
49	79	1501
50	79	1478
51	79	1452
52	80	1439
53	87	1540
54	88	1523
55	89	1505
56	89	1488
57	90	1468
58	90	1449
59	91	1433
60	91	1416
61	92	1398
62	92	1382
63	93	1365
64	93	1348
65	94	1333
66	94	1318
67	95	1303
68	95	1291
69	96	1277
70	96	1264
71	97	1252
72	97	1238
73	98	1226
74	98	1219
75	106	1294
76	107	1284
77	107	1271
78	108	1260
79	108	1249
80	109	1238
81	109	1226
82	109	1211
83	110	1199
84	110	1189
85	110	1178
86	111	1167
87	111	1160
88	112	1151
89	112	1141
90	114	1145
91	124	1225
92	124	1214
93	124	1203
94	125	1194
95	127	1198
96	127	1189
97	128	1178
98	128	1169
99	135	1217
100	135	1208
101	136	1198
102	136	1189
103	137	1181
104	137	1173
105	138	1165
106	138	1157
107	139	1153
108	146	1197
109	147	1192
110	147	1183
111	148	1176
112	148	1169
113	153	1196
114	154	1188
115	154	1180
116	155	1172
117	155	1164
118	156	1156
119	156	1148
120	156	1140
121	158	1139
122	160	1141
123	170	1203
124	170	1195
125	171	1187
126	171	1178
127	171	1169
128	172	1161
129	172	1153
130	172	1145
131	172	1136
132	173	1128
133	173	1121
134	173	1114
135	174	1106
136	174	1100
137	174	1092
138	175	1085
139	175	1078
140	175	1070
141	175	1063
142	176	1056
143	177	1052
144	177	1046
145	177	1040
146	178	1033
147	178	1027
148	178	1020
149	178	1013
150	179	1007
151	179	1000
152	179	995
153	180	989
154	180	983
155	180	977
156	180	971
157	181	965
158	181	960
159	181	955
160	182	949
161	182	943
162	183	939
163	183	934
164	183	929
165	184	924
166	184	920
167	184	915
168	185	911
169	185	907
170	187	906
171	187	904
172	188	901
173	189	899
174	190	895
175	190	894
176	191	889
177	191	886
178	192	882
179	192	878
180	193	873
181	193	869
182	193	864
183	193	860
184	194	855
185	194	852
186	195	848
187	195	844
188	195	840
189	196	836
190	196	832
191	196	828
192	197	824
193	197	820
194	197	816
195	198	813
196	198	809
197	199	806
198	199	803
199	200	800
200	200	797
201	201	794
202	201	791
203	201	788
204	202	784
205	202	781
206	203	778
207	203	775
208	204	772
209	204	770
210	205	767
211	205	764
212	206	761
213	206	758
214	206	755
215	207	754
216	208	751
217	208	748
218	210	751
219	211	749
220	212	747
221	212	744
222	213	742
223	214	741
224	215	741
225	216	742
226	217	741
227	218	738
228	218	735
229	218	732
230	219	732
231	220	729
232	220	726
233	221	723
234	221	720
235	221	717
236	221	714
237	222	711
238	222	708
239	222	705
240	223	703
241	223	700
242	224	698
243	224	695
244	224	693
245	225	690
246	225	687
247	226	686
248	226	683
249	227	682
250	228	681
251	229	680
252	229	678
253	230	676
254	230	674
255	231	671
256	231	669
257	231	667
258	232	664
259	232	662
260	233	660
261	233	658
262	234	655
263	234	653
264	234	651
265	235	648
266	235	646
267	235	643
268	236	641
269	236	639
270	236	636
271	237	634
272	237	632
273	237	630
274	238	627
275	238	625
276	238	623
277	239	620
278	239	618
279	239	616
280	240	615
281	241	613
282	241	612
283	242	611
284	243	611
285	244	611
286	245	609
287	245	608
288	246	606
289	246	603
290	247	601
291	247	599
292	247	597
293	248	596
294	248	594
295	249	592
296	249	591
297	250	589
298	250	587
299	250	585
300	251	583
301	251	581
302	251	579
303	252	577
304	252	575
305	252	573
306	253	571
307	253	570
308	254	568
309	254	567
310	255	565
311	256	564
312	256	563
313	257	562
314	258	561
315	258	559
316	259	559
317	260	557
318	260	556
319	260	554
320	261	552
321	261	550
322	261	549
323	262	547
324	262	545
325	263	543
326	263	541
327	263	540
328	263	538
329	264	536
330	264	534
331	264	532
332	265	531
333	265	529
334	265	527
335	266	526
336	266	524
337	266	522
338	267	521
339	267	519
340	268	518
341	268	516
342	269	515
343	269	514
344	270	514
345	271	513
346	272	512
347	272	510
348	273	509
349	273	507
350	273	505
351	274	505
352	274	503
353	275	502
354	276	501
355	276	499
356	276	498
357	277	497
358	277	495
359	277	494
360	278	492
361	278	490
362	278	489
363	279	487
364	279	486
365	279	484
366	280	483
367	280	481
368	280	480
369	281	478
370	281	477
371	282	476
372	282	474
373	282	473
374	283	471
375	283	470
376	284	469
377	285	469
378	285	468
379	286	467
380	286	465
381	286	464
382	287	462
383	287	461
384	288	460
385	288	459
386	289	458
387	289	456
388	289	455
389	290	454
390	291	453
391	291	451
392	291	450
393	291	449
394	292	447
395	292	446
396	292	444
397	293	443
398	293	441
399	293	440
400	294	439
401	294	437
402	294	436
403	295	435
404	295	434
405	295	432
406	296	432
407	296	430
408	297	429
409	297	428
410	298	427
411	298	426
412	299	425
413	299	424
414	300	423
415	300	422
416	301	421
417	301	420
418	302	418
419	302	418
420	303	417
421	303	415
422	303	414
423	304	413
424	304	412
425	304	410
426	305	409
427	305	408
428	305	406
429	306	405
430	306	404
431	306	403
432	306	401
433	307	400
434	307	399
435	307	398
436	308	396
437	308	395
438	308	394
439	309	393
440	309	392
441	310	391
442	310	390
443	310	389
444	311	388
445	311	387
446	312	386
447	312	385
448	313	384
449	313	383
450	314	382
451	314	381
452	314	380
453	315	379
454	315	378
455	316	378
456	317	377
457	317	376
458	318	374
459	318	373
460	318	372
461	319	371
462	319	370
463	319	369
464	319	368
465	320	366
466	320	365
467	320	364
468	321	363
469	321	362
470	321	361
471	322	360
472	322	359
473	323	359
474	324	358
475	324	357
476	325	356
477	325	355
478	326	354
479	326	354
480	327	353
481	327	352
482	328	351
483	328	350
484	329	349
485	329	348
486	330	348
487	331	347
488	331	346
489	331	345
490	332	344
491	332	343
492	332	342
493	333	341
494	333	340
495	333	339
496	333	337
497	334	336
498	334	336
499	335	335
500	335	334
501	336	333
502	336	332
503	336	331
504	337	330
505	337	329
506	337	328
507	338	327
508	338	326
509	338	325
510	339	324
511	340	324
512	340	323
513	341	322
514	343	323
515	344	322
516	344	321
517	345	321
518	345	320
519	346	319
520	346	318
521	346	317
522	347	316
523	347	315
524	347	314
525	348	313
526	348	312
527	348	311
528	348	310
529	349	309
530	349	308
531	349	307
532	350	307
533	350	306
534	351	305
535	351	304
536	352	303
537	352	302
538	352	301
539	353	300
540	353	300
541	354	299
542	354	298
543	354	297
544	355	296
545	355	295
546	355	294
547	356	294
548	357	293
549	357	292
550	357	291
551	358	290
552	358	289
553	358	288
554	359	288
555	359	287
556	359	286
557	360	285
558	360	284
559	361	284
560	361	283
561	362	282
562	362	281
563	362	280
564	363	279
565	364	279
566	364	278
567	365	277
568	365	276
569	365	275
570	366	275
571	366	274
572	367	273
573	367	272
574	368	272
575	369	271
576	369	270
577	369	270
578	370	269
579	370	268
580	371	267
581	372	267
582	373	266
583	373	266
584	374	265
585	374	264
586	374	263
587	375	262
588	375	262
589	376	261
590	376	260
591	376	259
592	377	258
593	377	258
594	377	257
595	378	256
596	378	255
597	378	254
598	379	253
599	379	253
600	380	252
601	380	251
602	381	250
603	381	250
604	382	249
605	382	248
606	383	248
607	383	247
608	384	246
609	384	245
610	385	245
611	385	244
612	386	243
613	386	243
614	387	242
615	387	241
616	387	240
617	388	239
618	388	239
619	388	238
620	389	237
621	389	236
622	390	236
623	390	235
624	390	234
625	390	233
626	391	232
627	392	232
628	392	231
629	393	230
630	393	230
631	393	229
632	394	228
633	394	227
634	395	227
635	395	226
636	396	225
637	396	225
638	397	224
639	397	223
640	397	222
641	398	222
642	399	221
643	399	220
644	400	220
645	400	219
646	400	218
647	401	217
648	401	217
649	401	216
650	402	215
651	402	214
652	402	214
653	403	213
654	403	212
655	403	211
656	404	211
657	404	210
658	404	209
659	405	208
660	405	208
661	406	207
662	406	206
663	406	205
664	407	205
665	407	204
666	408	203
667	408	203
668	409	202
669	409	201
670	410	201
671	410	200
672	411	199
673	411	199
674	411	198
675	412	197
676	413	197
677	413	196
678	413	195
679	414	194
680	414	194
681	414	193
682	415	192
683	415	191
684	415	191
685	416	190
686	416	189
687	416	188
688	417	188
689	417	187
690	417	186
691	417	186
692	418	185
693	418	184
694	418	183
695	419	183
696	419	182
697	420	181
698	420	181
699	420	180
700	421	179
701	421	179
702	422	178
703	423	177
704	423	177
705	423	176
706	424	175
707	424	175
708	425	174
709	425	173
710	425	173
711	426	172
712	426	171
713	427	171
714	427	170
715	427	169
716	428	169
717	428	168
718	429	167
719	429	166
720	429	166
721	429	165
722	430	164
723	430	164
724	430	163
725	431	162
726	431	162
727	432	161
728	432	160
729	432	160
730	433	159
731	433	158
732	433	158
733	434	157
734	435	156
735	435	156
736	436	155
737	436	155
738	437	154
739	437	153
740	437	153
741	438	152
742	438	151
743	438	151
744	439	150
745	440	149
746	440	149
747	440	148
748	441	147
749	441	147
750	441	146
751	442	145
